epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,100.751,3.11259,5.39396,1.61384,0.00016,0.03205,3e-05,1e-05,2.73638,5.58563,1.45995,0.000465978,0.000465978,0.000465978
2,201.407,2.58754,4.34189,1.33808,0.00163,0.23372,0.01352,0.00621,2.42955,5.20889,1.37019,0.000923654,0.000923654,0.000923654
3,302.654,2.48327,3.96522,1.30896,0.14361,0.10256,0.11217,0.0324,2.44154,4.17568,1.57718,0.00136247,0.00136247,0.00136247
4,410.495,2.41506,3.65269,1.2723,0.45304,0.06695,0.0556,0.0205,2.41177,7.66813,1.40395,0.00134412,0.00134412,0.00134412
5,516.478,2.32763,3.48711,1.23819,0.22701,0.13278,0.12555,0.04792,2.34088,5.37723,1.4294,0.00131582,0.00131582,0.00131582
6,618.095,2.30762,3.4353,1.22183,0.88241,0.11538,0.15997,0.06562,2.21344,3.82469,1.39536,0.00128753,0.00128753,0.00128753
7,720.811,2.34297,3.42574,1.24935,0.12429,0.22019,0.12484,0.03731,2.42102,5.00676,1.47789,0.00125923,0.00125923,0.00125923
8,823.044,2.28252,3.26816,1.21368,0.81114,0.16185,0.15372,0.06398,2.11877,3.79311,1.33288,0.00123094,0.00123094,0.00123094
9,925.787,2.20193,3.1778,1.19703,0.15126,0.21245,0.14101,0.05648,2.1579,3.37365,1.31492,0.00120265,0.00120265,0.00120265
10,1026.72,2.19194,3.08513,1.2015,0.2142,0.2614,0.18593,0.08477,2.1297,4.05978,1.30472,0.00117435,0.00117435,0.00117435
11,1123.64,2.17461,2.97575,1.16921,0.17073,0.16209,0.13713,0.05807,2.25263,3.38319,1.32326,0.00114606,0.00114606,0.00114606
12,1223.6,2.13549,2.93848,1.15815,0.1671,0.10806,0.10975,0.04985,2.21618,3.51577,1.27289,0.00111776,0.00111776,0.00111776
13,1323.56,2.13608,2.94682,1.14566,0.20454,0.17582,0.15587,0.06908,2.17559,2.95722,1.27359,0.00108947,0.00108947,0.00108947
14,1420.46,2.07145,2.7121,1.13894,0.16674,0.23107,0.16471,0.08324,2.04106,2.91898,1.23911,0.00106118,0.00106118,0.00106118
15,1518.97,2.09191,2.7245,1.13109,0.20172,0.20269,0.16202,0.07198,2.1248,4.1297,1.29337,0.00103288,0.00103288,0.00103288
16,1616.24,2.03836,2.68639,1.12759,0.09433,0.14387,0.08978,0.03935,2.26692,3.20761,1.33984,0.00100459,0.00100459,0.00100459
17,1717.5,1.99793,2.79002,1.12718,0.19556,0.22446,0.18207,0.06767,2.09804,2.84576,1.28159,0.000976293,0.000976293,0.000976293
18,1816.73,2.00854,2.57408,1.11453,0.30313,0.3021,0.23673,0.11486,1.822,2.87021,1.19715,0.000947999,0.000947999,0.000947999
