epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,97.6552,3.06324,4.99513,1.7069,0.00015,0.01923,1e-05,1e-05,2.44703,6.69828,1.80009,0.000465978,0.000465978,0.000465978
2,194.93,2.56907,3.95551,1.37801,0.02163,0.09615,0.01706,0.00707,2.21521,4.82546,1.4638,0.000923654,0.000923654,0.000923654
3,295.544,2.44853,3.90124,1.30241,0.15109,0.14103,0.15617,0.07748,1.9083,3.88764,1.24847,0.00136247,0.00136247,0.00136247
4,395.179,2.38963,3.57414,1.30484,0.16906,0.14744,0.14755,0.06217,2.16444,3.81403,1.40807,0.00134412,0.00134412,0.00134412
5,495.251,2.25976,3.3597,1.23447,0.51923,0.1934,0.13987,0.05346,2.2202,3.68905,1.36482,0.00131582,0.00131582,0.00131582
6,595.348,2.25423,3.20454,1.25224,0.14656,0.11823,0.12562,0.04864,2.19495,3.58812,1.34629,0.00128753,0.00128753,0.00128753
7,694.849,2.19307,3.03277,1.23677,0.32079,0.12604,0.16152,0.06587,2.07947,2.9846,1.34543,0.00125923,0.00125923,0.00125923
8,794.479,2.17657,2.92701,1.21613,0.15617,0.16422,0.08907,0.03456,2.24856,4.09498,1.32644,0.00123094,0.00123094,0.00123094
9,894.345,2.17901,2.96534,1.18785,0.15897,0.20147,0.10044,0.03067,2.44539,4.35992,1.34666,0.00120265,0.00120265,0.00120265
10,993.699,2.14086,2.88395,1.17941,0.2054,0.27249,0.17442,0.07835,2.15393,3.15199,1.34474,0.00117435,0.00117435,0.00117435
11,1093.3,2.10732,2.86966,1.16651,0.41532,0.17766,0.17623,0.06559,2.09285,2.90636,1.30661,0.00114606,0.00114606,0.00114606
12,1192.2,2.08521,2.72446,1.18043,0.25175,0.23858,0.25683,0.12088,1.90126,2.82469,1.22865,0.00111776,0.00111776,0.00111776
13,1291.61,2.09335,2.71294,1.14935,0.27531,0.25326,0.23355,0.11056,1.97687,2.90782,1.22502,0.00108947,0.00108947,0.00108947
14,1390.88,2.03597,2.71851,1.13734,0.30263,0.27401,0.23489,0.11841,1.837,2.87638,1.20563,0.00106118,0.00106118,0.00106118
15,1490.37,2.0401,2.56445,1.13602,0.2603,0.20687,0.19665,0.09426,1.90461,3.07665,1.22233,0.00103288,0.00103288,0.00103288
16,1590.11,2.0209,2.57832,1.14927,0.26878,0.17815,0.17911,0.08964,2.00061,2.8799,1.25184,0.00100459,0.00100459,0.00100459
17,1689.85,2.09011,2.66393,1.15332,0.73432,0.12729,0.14612,0.05368,2.43323,2.92036,1.44066,0.000976293,0.000976293,0.000976293
18,1789.88,2.0071,2.55055,1.11361,0.28811,0.22853,0.19441,0.09038,2.17744,3.50828,1.29024,0.000947999,0.000947999,0.000947999
19,1889.25,1.98677,2.48892,1.11994,0.25313,0.19984,0.18575,0.0763,2.24464,2.9805,1.32732,0.000919704,0.000919704,0.000919704
20,1988.09,1.87582,2.39384,1.12162,0.28726,0.24269,0.2151,0.11698,1.79822,2.62415,1.1801,0.00089141,0.00089141,0.00089141
21,2087.26,2.02733,2.55209,1.14288,0.24902,0.2383,0.22712,0.11664,1.8312,2.58023,1.18558,0.000863116,0.000863116,0.000863116
22,2186.72,1.94063,2.33614,1.09677,0.2448,0.28154,0.20265,0.10509,1.86729,2.95572,1.18983,0.000834822,0.000834822,0.000834822
23,2285.42,1.93766,2.37669,1.09256,0.31557,0.23647,0.19925,0.09504,1.93995,2.98585,1.21566,0.000806528,0.000806528,0.000806528
24,2385.04,1.89826,2.33899,1.07484,0.27969,0.31593,0.22435,0.11853,1.81118,2.72698,1.19627,0.000778233,0.000778233,0.000778233
25,2484.61,1.8797,2.29358,1.08785,0.32359,0.27249,0.23033,0.10573,1.92865,2.82888,1.24448,0.000749939,0.000749939,0.000749939
26,2584.19,1.8759,2.30614,1.09012,0.29202,0.32395,0.26507,0.13662,1.78595,2.50844,1.189,0.000721645,0.000721645,0.000721645
27,2684.43,1.92569,2.32317,1.08333,0.24534,0.2963,0.19639,0.08504,2.03056,2.95765,1.2707,0.000693351,0.000693351,0.000693351
28,2783.95,1.88907,2.37025,1.08978,0.2725,0.28327,0.25761,0.13669,1.75758,2.42948,1.17644,0.000665057,0.000665057,0.000665057
29,2883.32,1.77687,2.16186,1.05814,0.30373,0.3034,0.26436,0.14149,1.72546,2.27727,1.1429,0.000636762,0.000636762,0.000636762
30,2982.89,1.89484,2.1662,1.07775,0.38761,0.31247,0.22727,0.09341,1.93896,3.70812,1.14668,0.000608468,0.000608468,0.000608468
31,3082.23,1.85674,2.2513,1.06786,0.40863,0.24122,0.2712,0.12601,1.82169,2.45083,1.17044,0.000580174,0.000580174,0.000580174
32,3181.55,1.75745,2.1127,1.05328,0.41943,0.2558,0.28756,0.1227,1.76759,2.52714,1.16751,0.00055188,0.00055188,0.00055188
33,3281.05,1.82276,2.11014,1.04103,0.2866,0.28083,0.26629,0.14947,1.68156,2.54066,1.12407,0.000523586,0.000523586,0.000523586
34,3380.33,1.84538,2.13382,1.072,0.35739,0.26313,0.28451,0.15533,1.72677,2.32007,1.16438,0.000495291,0.000495291,0.000495291
